time,ax,ay,az,yaw,distance
11.653,-0.1546,-2.77717,7.6284,253.2397,17.664060177706684
11.696,-0.1091,0.79541,9.3702,252.7602,17.831170172267303
11.739,0.1159,-1.09296,10.1842,252.2412,17.998248881814696
11.782,0.1434,-0.61358,8.4233,251.736,18.165370315613703
11.825,0.0082,-1.73558,7.7493,251.1909,18.332409585728843
11.868,0.4523,-1.07448,9.8586,250.6452,18.499405082844653
11.911,0.4499,-1.46696,11.3334,250.082,18.66632930080786
11.954,0.5086,-1.55254,10.5134,250.0746,18.8331504149334
11.997,0.2141,-0.25542,10.9695,249.5011,19.000014606397183
12.04,-0.0732,-0.79662,12.1498,248.9372,19.166938042864114
12.083,0.2392,-1.62492,10.3075,248.3888,19.333836965449986
12.126,0.3254,-1.59203,8.8231,247.8706,19.500650502469128
12.169,0.2883,-1.03235,8.5621,247.3998,19.667408629497437
12.212,0.9156,-2.70996,8.9895,246.9474,19.83393968729273
12.255,1.0892,2.30307,10.2692,246.5499,20.00089790370394
12.298,-0.3019,-2.49931,9.09,246.1697,20.167970009699495
12.341,-0.1103,-1.21011,8.8075,245.8364,20.335097314961274
12.384,-0.1103,-1.837,8.2856,245.5268,20.502128486086004
12.427,-0.0289,-2.31891,9.1379,245.2412,20.668860476336018
12.47,-0.2085,3.03259,11.9691,244.9885,20.835931962547356
12.513,0.5145,-5.55038,7.0215,244.7596,21.00264616841388
12.556,-0.3701,-0.47278,5.4389,244.5586,21.169080499241918
12.599,0.0321,-2.29515,10.6858,244.3774,21.335061340616956
12.642,-0.2432,-0.02112,13.8078,244.2339,21.500759628156334
12.685,0.001,-2.19252,11.1527,244.1094,21.666015008621375
12.728,-0.09,-1.97395,8.0713,243.9981,21.830708165466753
12.771,-0.643,2.00552,13.3613,243.9207,21.995294268757288
12.814,0.4439,-5.23303,12.1989,243.8573,22.159168150703906
12.857,-0.7652,1.2023,9.8718,243.8218,22.322661039660925
12.9,-0.187,-3.20375,6.7389,243.7874,22.48544526492998
12.943,-0.7771,-0.01584,5.3096,243.7714,22.647659486235344
12.986,0.1303,0.66099,8.3395,243.7707,22.80963022989334
13.029,0.5002,-4.21113,8.5849,243.7692,22.970933725104807
13.072,-0.2133,-1.94095,9.5437,243.7617,23.13146587280549
13.115,-0.2384,2.14907,12.7268,243.7557,23.291764790152243
13.158,1.24,-5.70306,13.171,243.7386,23.451256508792397
13.201,-0.023,-1.93567,14.3118,243.7007,23.609873968415805
13.244,-0.4467,-2.22277,17.0472,243.6612,23.76746679541731
13.287,-2.1861,0.58069,12.4683,243.6341,23.92414375019741
13.33,-0.8466,-0.33583,7.8056,243.625,24.080004760026295
13.373,0.2859,-0.02497,5.6436,243.6504,24.235310469952832
13.416,0.7552,0.02761,5.227,243.6985,24.390354660514102
13.459,0.8007,-1.69477,5.7142,243.739,24.545141538440003
13.502,0.5014,-0.93885,5.6556,243.7739,24.699759294927958
13.545,0.5948,-0.05665,7.8582,243.8293,24.854433527210347
13.588,0.8306,-1.43528,9.2828,243.8779,25.00918143940243
13.631,0.4559,-2.38733,9.3103,243.9164,25.163831878867853
13.674,0.5289,-2.73504,11.7859,243.9569,25.318186619055417
13.717,0.0537,-2.33343,12.5676,244.011,25.472077440124252
13.76,0.4391,-2.0779,13.6714,244.0825,25.62543555394998
13.803,0.3625,-2.59545,12.6574,244.1586,25.778112318699673
13.846,-0.4755,-1.75923,9.6946,244.2424,25.93000951274012
13.889,0.0477,-0.8888,8.3873,244.3305,26.081229939519357
13.932,0.2141,-4.42453,8.2377,244.409,26.231345710480795
13.975,-0.2624,-0.40293,9.533,244.4869,26.380532942304146
14.018,-0.1427,-1.3827,11.404,244.5453,26.528813875861132
14.061,0.4439,-2.04765,8.7213,244.5836,26.67617353875712
14.104,-0.066,-2.26226,6.6408,244.5758,26.822509435500283
14.147,-0.2815,0.06061,8.1551,244.5547,26.96805778420799
14.19,0.6378,-2.76529,10.4296,244.4933,27.11270632110966
14.233,0.0908,-1.463,9.0529,244.3954,27.256490644881826
14.276,0.0525,-1.52878,10.2405,244.2885,27.39942882850003
14.319,0.1674,-2.33079,12.3605,244.1606,27.541429590788425
14.362,0.2332,-1.50249,12.2624,244.0195,27.68254412941513
14.405,-0.1403,-1.69477,11.0557,243.8671,27.8227473525311
14.448,-0.8968,-0.1672,11.3993,243.7304,27.96215970473672
14.491,-0.5521,1.84481,13.5073,243.5972,28.101229455520155
14.534,0.1961,-5.16186,8.6124,243.4603,28.239393388996223
14.577,-1.1973,-1.29316,7.4488,243.3228,28.376566079664627
14.62,-0.8202,-0.89672,11.5788,243.1945,28.5127724598672
14.663,0.2655,-0.5346,13.4176,243.0684,28.648213983528787
14.706,0.2871,-4.24149,5.9465,242.9296,28.78252180875196
14.749,-1.5756,0.6215,4.389,242.7714,28.915873595733924
14.792,-0.7843,-0.0803,7.3159,242.5865,29.048414356205875
14.835,-0.0218,-3.14193,8.2784,242.4247,29.17990783517577
14.878,-0.3498,-1.33265,8.3694,242.2113,29.310372831656906
14.921,-0.5114,-2.05689,9.1834,241.977,29.43969994844039
14.964,-0.1331,-3.44608,9.5366,241.7317,29.56763023863402
15.007,-0.175,-2.06481,10.5936,241.7318,29.694131419881472
15.05,-0.3486,-1.76055,11.4699,241.4298,29.819199383677706
15.093,-0.1965,-3.32629,10.942,241.1423,29.942618178565972
15.136,-0.7831,0.49907,12.1462,240.8371,30.06468773071768
15.179,0.0213,-1.8975,13.0656,240.5895,30.185419877099456
15.222,-0.0349,-2.79818,9.691,240.3729,30.30468727027945
15.265,-0.0876,-1.06535,7.5566,240.1644,30.42262404369959
15.308,0.2081,-1.39843,8.2269,239.9897,30.539337593851428
15.351,0.5205,-4.04261,7.5206,239.8403,30.654576741485386
15.394,-0.4934,0.01584,8.2221,239.7002,30.76858778516123
15.437,-0.7699,-1.62624,11.3179,239.6084,30.881318619967242
15.48,-0.6395,-1.78563,10.3626,239.5448,30.99271463634977
15.523,0.2715,-0.89408,9.5294,239.4843,31.102966398967325
15.566,-0.3976,-1.20615,11.6099,239.4278,31.212119063205254
15.609,-0.5581,-1.54198,11.8458,239.3824,31.320144877953762
15.652,-0.5784,-1.38138,10.2225,239.3378,31.42703942323298
15.695,-0.6478,-0.76901,10.092,239.2859,31.532878181971256
15.738,-0.4982,-0.72952,9.5892,239.2323,31.637752199510647
15.781,0.4116,-3.91754,8.0569,239.1841,31.741396455934115
15.824,0.0992,1.46036,8.2533,239.1105,31.844308386156182
15.867,-0.0265,-3.12345,9.8921,239.0256,31.946261631950502
15.91,0.1829,-1.22991,8.3885,238.8755,32.0473509794351
15.953,0.0632,-2.18856,9.0745,238.6903,32.14751045108876
15.996,-0.1822,-0.51095,12.728,238.4714,32.246890350593546
16.039,-0.4132,1.29833,13.0513,238.2097,32.34585386555753
16.082,0.1123,-4.28758,8.2988,237.9439,32.44399756101898
16.125,-0.3234,-1.49721,5.4161,237.6671,32.541302667959584
16.168,-0.1594,-1.43924,8.6663,237.3788,32.63778113608865
16.211,0.2416,-1.56178,11.3921,237.0732,32.73347697843898
16.254,-0.4623,-2.36104,10.1291,236.7701,32.8282292417446
16.297,-0.2432,-1.04027,8.7022,236.4581,32.92210743442159
16.34,0.3685,-1.4366,8.4544,236.1527,33.015195465559785
16.383,0.3841,-1.93039,8.6196,235.8568,33.107502335029636
16.426,0.3984,-2.0713,8.4628,235.557,33.199019507771396
