time,ax,ay,az,yaw ,acc,velo,dist
2.494,0.3882,0.257355,10.7926,193.4835,-0.341963302437361,63.2847978147946,2423.22716031236
2.537,0.6803,1.51683,9.2878,193.2803,0.029795358050111,63.1189393525912,2486.34609966495
2.58,0.4577,1.60734,9.228,193.0921,0.345304286440089,63.2685898187778,2549.61468948372
2.623,0.4265,2.064825,10.042,192.9118,0.689208429152071,63.7621444276764,2613.3768339114
2.666,0.5475,2.240805,10.2934,192.7448,0.999527743321657,64.5660183507446,2677.94285226215
2.709,0.0363,3.5154,9.6158,192.5706,1.50270219465733,65.8730667251485,2743.81591898729
2.752,-0.0104,2.072385,10.625,192.4237,1.61663875572586,67.2940516606209,2811.10997064791
2.795,0.0734,2.18925,10.874,192.2856,1.73116100458069,68.8295588449481,2879.93952949286
2.838,0.1428,1.210125,9.3441,192.1586,1.62695380366455,70.2608588283592,2950.20038832122
2.881,0.0554,0.090195,9.9259,192.0431,1.31960204293164,71.3848070510373,3021.58519537226
2.924,0.5702,0.73248,10.3161,191.9203,1.20217763434531,72.3913308651292,3093.97652623739
2.967,0.4505,1.34211,8.8772,191.7892,1.23016410747625,73.425841152352,3167.40236738974
3.01,0.1297,0.98007,9.4075,191.6665,1.180145285981,74.4103326180795,3241.81270000782
3.053,0.1285,2.02587,9.2471,191.5313,1.3492902287848,75.5639690266108,3317.37666903443
3.096,0.4098,2.03595,8.7766,191.3952,1.48662218302784,76.8549373893852,3394.23160642382
3.139,0.4637,1.734285,8.3589,191.2616,1.53615474642227,78.195438315554,3472.42704473937
3.182,0.5187,-0.40635,10.3724,191.1607,1.14765379713782,79.1474382924384,3551.57448303181
3.225,0.2973,1.374765,10.1413,191.0443,1.19307603771025,80.1448605098951,3631.7193435417
3.268,0.4708,1.041705,9.52,190.939,1.1628018301682,81.1120085198099,3712.83135206151
3.311,0.2781,0.789075,10.9446,190.8498,1.08805646413456,82.004411163691,3794.8357632252
3.354,0.3176,2.005815,9.8804,190.7556,1.27160817130765,83.0803655147452,3877.91612873995
3.397,-0.354,1.810935,8.8652,190.677,1.37947353704612,84.2641852315378,3962.18031397149
3.44,-0.3947,1.100715,10.3149,190.6258,1.3237218296369,85.3922532409212,4047.57256721241
3.483,0.1572,1.57962,11.4246,190.5861,1.37490146370952,86.5715008843773,4134.14406809679
3.526,-0.3683,1.484175,10.9733,190.5585,1.39675617096761,87.7726032350914,4221.91667133188
3.569,0.0303,1.215165,9.301,190.5378,1.36043793677409,88.9373873516121,4310.85405868349
3.612,-0.2331,0.696045,8.3182,190.5298,1.22755934941927,89.9692928807779,4400.82335156427
3.655,0.5977,0.3906,9.8289,190.5297,1.06016747953542,90.8338065400598,4491.65715810433
3.698,-0.0583,3.51918,7.5819,190.5312,1.55196998362833,92.1901227034347,4583.84728080776
3.741,0.1369,-0.89649,10.3652,190.5432,1.06227798690267,93.0567468700839,4676.90402767785
3.784,0.077,0.581595,12.2458,190.5524,0.966141389522134,93.8272344393526,4770.7312621172
3.827,-0.5455,1.7682,10.1222,190.5538,1.12655311161771,94.7581337307168,4865.48939584792
3.87,0.1764,0.03612,9.8217,190.5608,0.908466489294166,95.4709463997575,4960.96034224767
3.913,-0.1804,0.789075,8.3732,190.5657,0.884588191435333,96.1598807709393,5057.12022301861
3.956,0.0794,-1.19574,9.9139,190.5793,0.468522553148267,96.4327495038341,5153.55297252245
3.999,-0.0918,-1.25475,10.9374,190.596,0.123868042518613,96.3609637260993,5249.91393624855
4.042,-0.1804,-1.94355,10.4167,190.6121,-0.289615565985109,95.8756943398607,5345.78963058841
4.085,0.3009,-2.261595,9.3309,190.6198,-0.684011452788088,94.9960290668192,5440.78565965523
4.128,0.0734,-1.43955,9.1609,190.631,-0.83511916223047,93.9652560843352,5534.75091573956
4.171,0.2338,-1.86438,9.4805,190.6413,-1.04097132978438,92.7286309342974,5627.47954667386
4.214,0.4876,-0.796005,9.6481,190.6477,-0.991978063827501,91.5409990502164,5719.02054572408
4.257,0.4625,-0.603645,9.5991,190.6526,-0.914311451062001,90.4310337789009,5809.45157950298
4.3,0.5858,-0.890295,10.455,190.6572,-0.909508160849601,89.3258717977979,5898.77745130077
4.343,0.3763,-0.110985,10.3999,190.6574,-0.749803528679681,88.3804144488647,5987.15786574964
4.386,0.4277,0.405615,9.7666,190.6543,-0.518719822943745,87.6660408056675,6074.82390655531
4.429,0.247,-0.11844,10.0049,190.6542,-0.438663858354996,87.031723127059,6161.85562968237
4.472,0.0878,-1.027215,10.5304,190.6592,-0.556374086683997,86.2796952201215,6248.13532490249
4.515,0.3308,-0.369915,9.4901,190.6586,-0.519082269347197,85.5649591305209,6333.70028403301
4.558,0.6516,-0.63882,8.7156,190.6577,-0.543029815477758,84.8262754947897,6418.5265595278
4.601,0.5475,-1.19322,9.3034,190.6605,-0.673067852382206,83.957553822154,6502.48411334995
4.644,0.5989,-1.10145,10.3652,190.6578,-0.758744281905765,83.0031557199948,6585.48726906995
4.687,0.3607,-0.66402,9.8935,190.6486,-0.739799425524612,82.0677024742167,6667.55497154416
4.73,0.3164,-0.856275,9.5811,190.6378,-0.76309454041969,81.1089541135435,6748.66392565771
4.773,0.7282,-0.710535,9.6721,190.6236,-0.752582632335752,80.1607176609543,6828.82464331866
4.816,0.6432,0.058695,9.8528,190.5999,-0.590327105868601,79.3747367348323,6908.19938005349
4.859,0.2302,1.717905,10.0324,190.56,-0.128680684694881,79.0504022298839,6987.24978228338
4.902,0.399,1.119615,10.3903,190.5332,0.120978452244095,78.9757268618745,7066.22550914525
4.945,0.824,0.03738,11.6629,190.5301,0.104258761795276,78.8843318034163,7145.10984094867
4.988,0.5307,1.68903,11.3396,190.5148,0.421213009436221,79.1098909925991,7224.21973194127
5.031,-0.0691,0.29631,10.0324,190.5247,0.396232407548977,79.3104695798946,7303.53020152116
5.074,0.1249,-1.381695,9.5907,190.5584,0.040646926039181,79.1554626856803,7382.68566420684
5.117,0.3978,0.253575,9.4482,190.5713,0.083232540831345,79.0430414062582,7461.7287056131
