time,ax,ay,az,yaw,distance
14.448,0.0829,-0.42216,8.6225,190.9049,86.50266709827183
14.491,-0.0285,0.70216,8.3603,190.8854,86.94640485323885
14.534,-0.0596,-0.69512,9.7873,190.8753,87.39107649097875
14.577,0.0996,0.53552,10.7581,190.8528,87.83683234074793
14.62,0.1056,-0.4528,10.5175,190.8303,88.28362095751112
14.663,-0.0356,-1.13944,15.0078,190.8063,88.73126732435915
14.706,-0.5312,-1.23624,11.5973,190.7754,89.17959912578243
14.749,-0.1817,0.79696,6.6341,190.7285,89.62884289182632
14.792,0.0541,1.25568,3.7287,190.6826,90.079287493592
14.835,0.1104,-2.59136,13.5462,190.6471,90.53046579521327
14.878,-0.8221,-0.5984,15.1443,190.6043,90.98234041441759
14.921,0.1846,0.92816,7.0615,190.5555,91.43515900220169
14.964,0.8909,-1.93056,6.5718,190.5113,91.88859945332324
15.007,0.1116,-0.0496,9.9297,190.4758,92.34273267891348
15.05,1.2931,1.70576,8.164,190.4515,92.79794578224643
15.093,0.8167,-2.2284,7.9784,190.4335,93.2538473228953
15.136,0.679,1.71056,10.1811,190.431,93.71083006150823
15.179,0.6802,-1.62504,9.646,190.442,94.16861736416766
15.222,0.7712,1.03832,9.7286,190.449,94.62746274501866
15.265,0.679,-1.1912,11.3842,190.4839,95.08717385426881
15.308,0.7437,-0.20192,12.3886,190.5146,95.54776401044461
15.351,0.4396,-0.44704,10.7761,190.5473,96.00920104449101
15.394,-0.0333,-1.0408,11.2286,190.5927,96.47134716934396
15.437,-0.159,0.00496,9.0415,190.63,96.93427680734146
15.48,0.4264,-0.05536,5.8117,190.6664,97.39804143424712
15.523,0.3426,1.06224,6.931,190.6812,97.86289909330293
15.566,0.7209,-0.72192,9.8555,190.7237,98.32874234325287
15.609,0.7868,-2.74744,15.3143,190.7827,98.79509140784056
15.652,-0.8736,-0.21816,13.2301,190.8141,99.26200389586648
15.695,-0.3026,-0.02088,8.9349,190.8329,99.72956490752172
15.738,0.3905,-0.47776,6.3468,190.8562,100.19775988126277
15.781,0.4552,-0.17224,8.5794,190.8699,100.66663298241907
15.824,0.679,1.13312,8.7099,190.8518,101.13646900648241
15.867,0.9328,-0.5716,10.144,190.8555,101.60720049070454
15.91,0.9567,-0.13776,9.895,190.8492,102.07884853659047
15.953,1.2429,-1.36936,11.0322,190.8619,102.55119752737366
15.996,0.4204,-2.26664,11.0095,190.8824,103.02388962974237
16.039,0.1846,-1.67,11.4452,190.8848,103.49671714064796
16.082,0.3546,-2.13928,9.0989,190.8936,103.96940330455207
16.125,0.0565,-1.35688,10.2314,190.8796,104.4418488971628
16.168,0.1068,-0.49304,8.7865,190.8475,104.91412745108326
16.211,0.1858,-2.5128,12.2186,190.8538,105.3859230412108
16.254,0.0242,0.36504,9.1696,190.8222,105.85749609074841
16.297,0.0182,0.39856,5.4741,190.7898,106.32908734277196
16.34,-0.1841,0.8448,6.4306,190.7619,106.80099912863167
16.383,0.6252,0.03464,9.9034,190.7644,107.27334499263216
16.426,0.2145,0.20704,10.5498,190.7688,107.74626249372307
16.469,1.0992,-2.15656,13.1391,190.8021,108.21942295174739
16.512,0.4875,-0.80144,13.6934,190.8171,108.6927907227977
16.555,-0.1099,-0.7028,8.6883,190.8275,109.16635638367944
16.598,0.3666,-1.46608,10.6252,190.8412,109.6399640455429
16.641,-0.0811,-1.47368,10.4361,190.8442,110.1134749653874
16.684,0.1104,-2.11248,8.9852,190.8524,110.5866422947312
16.727,0.0565,-4.0824,10.5127,190.8278,111.0588720591045
16.77,0.108,-2.00328,9.6855,190.8001,111.53002210766418
16.813,-0.0129,-2.67944,6.2498,190.7462,111.99983755108173
16.856,0.1212,-2.7896,10.1165,190.7158,112.46806727419998
16.899,0.2289,-0.71904,9.6687,190.6458,112.93487572910855
16.942,0.3402,-0.97568,8.9469,190.5753,113.40036170967508
16.985,-0.0728,-1.85104,10.7401,190.5081,113.86445146195724
17.028,0.7688,0.1352,10.2003,190.414,114.32744834661456
17.071,0.7999,-1.48712,9.913,190.3504,114.78931872739217
17.114,0.3414,-0.69032,10.5175,190.2789,115.25018587574937
17.157,0.4767,0.37656,5.6573,190.201,115.71036142721273
17.2,0.6275,-0.3408,7.3188,190.1663,116.16998937008742
17.243,-0.0931,-3.798,14.499,190.1837,116.62855080360906
17.286,-0.0488,-0.9824,15.3789,190.1815,117.08611034556311
17.329,-0.0165,-4.14376,9.7537,190.1995,117.5421286580089
17.372,-0.0608,-1.34536,9.5957,190.2551,117.99664929193501
17.415,0.5318,-0.11664,5.5268,190.2874,118.44993978756614
17.458,0.4204,-2.9792,11.48,190.3905,118.90170083990247
17.501,-0.6198,1.29976,7.1608,190.4748,119.35247809887866
17.544,-0.0141,-0.38384,2.8321,190.5719,119.8024406875711
17.587,0.6024,-1.02168,9.9872,190.678,120.25161640745792
17.63,-0.1254,0.58432,14.5589,190.7512,120.70033830751399
17.673,0.9699,-3.59784,15.2891,190.8687,121.14810909522882
17.716,0.0589,-4.14656,14.2896,190.9878,121.59438328185513
