time,ax,ay,az,yaw
15.609,0.5578,0.9311,9.1886,185.4992
15.652,0.0706,-0.3785,11.0813,185.4951
15.695,-0.2156,0.3865,11.7109,185.482
15.738,-0.2646,1.7763,9.2569,185.458
15.781,-0.4813,0.1829,9.6735,185.4354
15.824,0.0239,0.4798,9.6196,185.4107
15.867,0.1962,0.8892,8.0502,185.3811
15.91,0.5949,0.5421,7.1584,185.3483
15.953,0.4859,0.3134,7.6982,185.3128
15.996,0.8654,-0.4862,10.7951,185.2825
16.039,0.3531,0.0944,12.1802,185.244
16.082,0.3267,0.7564,11.0418,185.198
16.125,0.6224,-0.1331,10.4384,185.164
16.168,0.1077,0.5576,9.7525,185.1362
16.211,0.4369,0.8426,10.3893,185.1192
16.254,-0.3113,0.4355,11.2943,185.118
16.297,-0.4227,0.2057,10.7317,185.1351
16.34,-0.1306,1.052,8.1232,185.1651
16.383,0.3674,0.8306,6.9776,185.2076
16.426,0.456,-0.4407,9.8482,185.2824
16.469,0.3291,1.0772,9.7178,185.3572
16.512,-0.0911,0.5122,10.0805,185.4518
16.555,-0.0767,-1.086,11.1124,185.5664
16.598,-0.3508,1.4411,9.5178,185.6626
16.641,0.3555,1.2328,9.2772,185.7692
16.684,-0.1665,-1.2081,10.5198,185.8947
16.727,0.875,2.4179,8.3303,185.9935
16.77,-0.0587,0.505,9.0617,186.1116
16.813,-0.0228,-2.3753,12.5513,186.2476
16.856,0.7158,2.6262,9.7764,186.3466
16.899,0.3375,0.1602,9.4185,186.4711
16.942,0.4117,-0.6,9.6735,186.5953
16.985,0.6057,1.6566,8.5542,186.6905
17.028,0.2334,-0.2277,9.8925,186.8078
17.071,0.1723,1.2723,10.0422,186.8992
17.114,0.2908,1.149,9.6052,186.9862
17.157,-0.1353,-0.187,9.9524,187.0809
17.2,0.5075,1.8146,8.6906,187.139
17.243,0.3363,-0.2564,10.3426,187.2118
17.286,0.1328,1.4208,9.6795,187.2485
17.329,0.3722,-0.0924,10.7568,187.2944
17.372,-0.2144,0.7839,10.2792,187.3158
