time,ax,ay,az,yaw ,acc,velo,dis
32.121,-0.7248,1.72744,6.6161,192.0867,0.834921071414362,69.5523965068784,74333.7473735509
32.164,-0.3872,1.32319,5.6848,192.2582,0.93257485713149,69.3094404279892,74403.0568139789
32.207,-0.5811,-0.22143,11.7469,192.348,0.701773885705192,68.8356833776737,74471.8924973566
32.25,-1.206,0.58718,10.3367,192.4632,0.678855108564154,68.3390075502171,74540.2315049068
32.293,-0.8876,0.99407,7.417,192.5936,0.741898086851323,67.9053747010478,74608.1368796079
32.336,-0.8577,-0.00803,8.3651,192.6618,0.591912469481058,67.3217562345081,74675.4586358424
32.379,-0.3597,0.44891,9.9381,192.728,0.563311975584847,66.7095372740723,74742.1681731164
32.422,-0.2819,0.52261,9.5538,192.7706,0.555171580467877,66.0891779185194,74808.257351035
32.465,-0.3836,-0.84953,13.6431,192.7532,0.274231264374302,65.187878246873,74873.4452292818
32.508,-0.8804,0.03278,14.4535,192.7533,0.225941011499442,64.2382883223518,74937.6835176042
32.551,-0.4794,-0.64933,10.8431,192.7145,0.050886809199553,63.1136441955306,75000.7971617997
32.594,-0.4626,0.275,8.9182,192.6878,0.095709447359643,62.0338227068696,75062.8309845066
32.637,-0.0125,-0.58883,11.389,192.6253,-0.041198442112286,60.8170933287366,75123.6480778353
32.68,0.0545,0.72017,9.1265,192.5948,0.111075246310171,59.752637639026,75183.4007154744
32.723,0.4256,-0.23452,7.8264,192.5193,0.041956197048137,58.6190629000535,75242.0197783744
32.766,-0.0843,2.20946,7.0196,192.4978,0.47545695763851,57.9189889216713,75299.9387672961
32.809,0.106,-0.22011,8.0754,192.3877,0.336343566110808,57.0798015517614,75357.0185688478
32.852,0.4891,1.45882,10.2529,192.4015,0.560838852888646,56.4651094686293,75413.4836783165
32.895,0.2125,0.05643,8.9924,192.2932,0.459957082310917,55.7495356149196,75469.2332139314
32.938,-0.1633,0.42779,9.227,192.2022,0.453523665848734,55.0275283447476,75524.2607422761
32.981,-0.3357,1.49963,7.6361,192.1451,0.662744932678987,54.5147423414059,75578.7754846175
33.024,-0.3477,1.80785,9.5945,192.103,0.89176594614319,54.2309773515284,75633.006461969
33.067,-0.6434,1.63394,11.5446,192.0634,1.04020075691455,54.0956471724222,75687.1021091415
33.11,-0.5548,-0.16874,15.4998,192.0298,0.798412605531642,53.7185288419332,75740.8206379834
33.153,-0.568,0.45023,13.5641,192.0322,0.728776084425313,53.2717739903378,75794.0924119737
33.196,-1.1378,0.85976,8.0407,192.0725,0.754972867540251,52.8512159218573,75846.9436278956
33.239,-0.8684,1.40096,7.4745,192.134,0.884170294032201,52.5598552798688,75899.5034831754
33.282,-0.5452,0.60159,7.9066,192.1895,0.82765423522576,52.2119785790739,75951.7154617545
33.325,-0.4387,0.85844,7.4421,192.2629,0.833811388180608,51.8702590312338,76003.5857207857
33.368,-0.4267,0.84392,7.5175,192.3387,0.835833110544487,51.5305612057576,76055.1162819915
33.411,-0.3333,1.77221,8.7889,192.427,1.02310848843559,51.3781387581725,76106.4944207497
33.454,0.0019,-2.13994,13.0218,192.4367,0.390498790748472,50.5931066129002,76157.0875273626
33.497,0.4113,2.00794,13.1092,192.5076,0.713987032598777,50.1315627094783,76207.219090072
33.54,0.276,-0.95227,10.0422,192.5226,0.380735626079022,49.3367673995367,76256.5558574716
33.583,0.2437,1.43121,8.6596,192.5704,0.590830500863218,48.7520669643792,76305.307924436
33.626,0.0043,1.29954,7.7187,192.6025,0.732572400690574,48.309108429049,76353.617032865
33.669,-0.1789,2.3925,8.2071,192.6304,1.06455792055246,48.1981354135808,76401.8151682786
33.712,0.428,1.93952,9.1013,192.6274,1.23955033644197,48.2621548140021,76450.0773230926
33.755,0.4975,0.0275,12.4747,192.5892,0.997140269153574,48.0837641471349,76498.1610872397
33.798,0.118,2.25555,9.482,192.5634,1.24882221532286,48.1570554264371,76546.3181426661
33.841,0.2449,0.16973,8.6787,192.514,1.03300377225829,48.0145282626747,76594.3326709288
33.884,0.695,1.35487,9.6065,192.4611,1.09737701780663,47.9363743444606,76642.2690452733
33.927,0.0509,0.69641,9.2258,192.3886,1.0171836142453,47.7780270226852,76690.047072296
33.97,0.0809,1.07701,10.2721,192.3031,1.02914889139624,47.6316449780608,76737.678717274
34.013,-0.3692,1.04797,10.9796,192.2132,1.03291311311699,47.4890271551571,76785.1677444292
34.056,-0.137,0.18018,12.4879,192.1082,0.862366490493596,47.17586270963,76832.3436071388
34.099,-0.222,1.15467,10.8682,191.9989,0.920827192394877,46.9211589660041,76879.2647661048
34.142,-0.2064,-0.09889,10.2637,191.8787,0.716883753915902,46.4625117838994,76925.7272778887
34.185,-0.2603,0.39094,9.9596,191.7604,0.651695003132721,45.9386758510114,76971.6659537397
34.228,-0.1813,0.69773,7.9078,191.649,0.660902002506177,45.4240469174969,77017.0900006572
34.271,-0.1609,0.54626,7.4697,191.5319,0.637973602004942,44.8864895834811,77061.9764902407
34.314,-0.5261,0.27764,9.1444,191.4079,0.565906881603954,44.2768655290644,77106.2533557698
34.357,-0.4471,0.19734,10.9293,191.2778,0.492193505283163,43.5935280983268,77149.8468838681
34.4,-0.6817,1.34563,9.233,191.1605,0.66288080422653,43.0808779665326,77192.9277618346
34.443,-0.4459,-0.82313,11.5458,191.0124,0.365678643381224,42.2710256738932,77235.1987875085
34.486,-0.4064,1.60369,9.0857,190.8851,0.613280914704979,41.7087756525774,77276.9075631611
34.529,-0.1274,-0.94171,9.1947,190.7208,0.302282731763983,40.8355274483207,77317.7430906094
34.572,0.0773,3.2879,7.0686,190.5833,0.899406185411187,40.5594026977112,77358.3024933071
34.615,0.8183,-1.04445,10.4983,190.4259,0.510634948328949,39.8945067100195,77398.1970000171
34.658,0.537,0.09196,14.0896,190.2772,0.42689995866316,39.1458757326619,77437.3428757498
34.701,-0.0281,1.11518,10.8156,190.1282,0.564555966930528,38.5349007635717,77475.8777765134
34.744,0.1287,-1.001,9.901,189.9573,0.251444773544422,37.6108146010955,77513.4885911145
34.787,-0.2495,1.74196,11.3159,189.8051,0.549547818835538,36.9848314839103,77550.4734225984
34.83,0.1647,-0.04235,11.061,189.6324,0.43116825506843,36.240468802958,77586.7138914013
34.873,-0.0772,0.67672,11.1759,189.4553,0.480278604054744,35.5452164709921,77622.2591078723
34.916,-0.0353,0.44759,10.454,189.2692,0.473740883243795,34.8434264182152,77657.1025342905
34.959,0.015,0.98747,8.6225,189.0874,0.576486706595036,34.2443821887895,77691.3469164793
35.002,0.3454,1.50095,6.9465,188.8962,0.761379365276029,33.8302306180448,77725.1771470973
35.045,-0.0245,0.55814,8.8032,188.6911,0.720731492220823,33.375431174245,77758.5525782716
35.088,-0.2687,2.40955,6.8807,188.4926,1.05849519377666,33.2583954320009,77791.8109737036
35.131,0.1982,0.84656,7.1261,188.2884,1.01610815502133,33.0989726510015,77824.9099463546
35.174,0.373,1.63922,10.1679,188.0959,1.14073052401706,33.0641722389979,77857.9741185936
35.217,0.4544,-0.58751,12.0809,187.9156,0.79508241921365,32.6837237221909,77890.6578423158
35.26,0.4244,2.24103,8.9253,187.752,1.08427193537092,32.5924647215411,77923.2503070373
35.303,0.5573,1.40877,6.8316,187.5979,1.14917154829674,32.5661053338171,77955.8164123711
